Dump at 0 s seconds:
address,data
0,01010100
1,00111010
2,11110010
3,10011000
4,01010010
5,01011111
6,11010101
7,XXXXXXXX
8,01101010
9,01011101
A,00110111
B,00100000
C,00010100
D,10010001
E,01011110
F,10101101
10,01111110
11,XXXXXXXX
12,00110110
13,10111110
14,01010011
15,00010000
16,00010011
17,00000111
18,11000111
19,10111100
1A,11001101
1B,11100110
1C,01000000
1D,01100110
1E,00001001
1F,10111000
20,00101111
21,10010001
22,11010101
23,11101100
24,01011101
25,00000010
26,11000001
27,10100000
28,00110001
29,11101101
2A,01001110
2B,10011111
2C,01101111
2D,XXXXXXXX
2E,10010101
2F,00111000
30,11110010
31,10011101

Dump at 10 ns seconds:
address,data
0,01010100
1,00111010
2,11110010
3,10011000
4,01010010
5,01011111
6,11010101
7,XXXXXXXX
8,01101010
9,01011101
A,00110111
B,00100000
C,00010100
D,10010001
E,01011110
F,10101101
10,01111110
11,XXXXXXXX
12,00110110
13,10111110
14,01010011
15,00010000
16,00010011
17,00000111
18,11000111
19,10111100
1A,11001101
1B,11100110
1C,01000000
1D,01100110
1E,00001001
1F,10111000
20,00101111
21,10010001
22,11010101
23,11101100
24,01011101
25,00000010
26,11000001
27,10100000
28,00110001
29,11101101
2A,01001110
2B,10011111
2C,01101111
2D,XXXXXXXX
2E,10010101
2F,00111000
30,11110010
31,10011101

Dump at 20 ns seconds:
address,data
0,00000001
1,00111010
2,11110010
3,10011000
4,01010010
5,01011111
6,11010101
7,XXXXXXXX
8,01101010
9,01011101
A,00110111
B,00100000
C,00010100
D,10010001
E,01011110
F,10101101
10,01111110
11,XXXXXXXX
12,00110110
13,10111110
14,01010011
15,00010000
16,00010011
17,00000111
18,11000111
19,10111100
1A,11001101
1B,11100110
1C,01000000
1D,01100110
1E,00001001
1F,10111000
20,00101111
21,10010001
22,11010101
23,11101100
24,01011101
25,00000010
26,11000001
27,10100000
28,00110001
29,11101101
2A,01001110
2B,10011111
2C,01101111
2D,XXXXXXXX
2E,10010101
2F,00111000
30,11110010
31,10011101

Dump at 30 ns seconds:
address,data
0,00000001
1,00111010
2,11110010
3,10011000
4,01010010
5,01011111
6,11010101
7,XXXXXXXX
8,01101010
9,01011101
A,00110111
B,00100000
C,00010100
D,10010001
E,01011110
F,10101101
10,01111110
11,XXXXXXXX
12,00110110
13,10111110
14,01010011
15,00010000
16,00010011
17,00000111
18,11000111
19,10111100
1A,11001101
1B,11100110
1C,01000000
1D,01100110
1E,00001001
1F,10111000
20,00101111
21,10010001
22,11010101
23,11101100
24,01011101
25,00000010
26,11000001
27,10100000
28,00110001
29,11101101
2A,01001110
2B,10011111
2C,01101111
2D,XXXXXXXX
2E,10010101
2F,00111000
30,11110010
31,10011101

Dump at 0 s seconds:
address,data
0X0,XXXXXXXX
0X1,10110010
0X2,00010100
0X3,10100110
0X4,XXXXXXXX
0X5,00110011
0X6,00000011
0X7,10011110
0X8,01011100
0X9,11010011
0XA,11110001
0XB,00010101
0XC,00100101
0XD,01110101
0XE,10110100
0XF,10110101
0X10,00011111
0X11,10110100
0X12,11010111
0X13,01000110
0X14,00101110
0X15,11001010
0X16,XXXXXXXX
0X17,00111001
0X18,10000000
0X19,00110001
0X1A,10001111
0X1B,XXXXXXXX
0X1C,11101011
0X1D,00110101
0X1E,XXXXXXXX
0X1F,10000100
0X20,01100100
0X21,XXXXXXXX
0X22,11101111
0X23,00011100
0X24,11001111
0X25,00101110
0X26,11111001
0X27,00101101
0X28,00100100
0X29,11000000
0X2A,01111010
0X2B,10100001
0X2C,01110100
0X2D,10100101
0X2E,00001101
0X2F,XXXXXXXX
0X30,00100011
0X31,10001101

Dump at 10 ns seconds:
address,data
0X0,XXXXXXXX
0X1,10110010
0X2,00010100
0X3,10100110
0X4,XXXXXXXX
0X5,00110011
0X6,00000011
0X7,10011110
0X8,01011100
0X9,11010011
0XA,11110001
0XB,00010101
0XC,00100101
0XD,01110101
0XE,10110100
0XF,10110101
0X10,00011111
0X11,10110100
0X12,11010111
0X13,01000110
0X14,00101110
0X15,11001010
0X16,XXXXXXXX
0X17,00111001
0X18,10000000
0X19,00110001
0X1A,10001111
0X1B,XXXXXXXX
0X1C,11101011
0X1D,00110101
0X1E,XXXXXXXX
0X1F,10000100
0X20,01100100
0X21,XXXXXXXX
0X22,11101111
0X23,00011100
0X24,11001111
0X25,00101110
0X26,11111001
0X27,00101101
0X28,00100100
0X29,11000000
0X2A,01111010
0X2B,10100001
0X2C,01110100
0X2D,10100101
0X2E,00001101
0X2F,XXXXXXXX
0X30,00100011
0X31,10001101

Dump at 20 ns seconds:
address,data
0X0,00000001
0X1,10110010
0X2,00010100
0X3,10100110
0X4,XXXXXXXX
0X5,00110011
0X6,00000011
0X7,10011110
0X8,01011100
0X9,11010011
0XA,11110001
0XB,00010101
0XC,00100101
0XD,01110101
0XE,10110100
0XF,10110101
0X10,00011111
0X11,10110100
0X12,11010111
0X13,01000110
0X14,00101110
0X15,11001010
0X16,XXXXXXXX
0X17,00111001
0X18,10000000
0X19,00110001
0X1A,10001111
0X1B,XXXXXXXX
0X1C,11101011
0X1D,00110101
0X1E,XXXXXXXX
0X1F,10000100
0X20,01100100
0X21,XXXXXXXX
0X22,11101111
0X23,00011100
0X24,11001111
0X25,00101110
0X26,11111001
0X27,00101101
0X28,00100100
0X29,11000000
0X2A,01111010
0X2B,10100001
0X2C,01110100
0X2D,10100101
0X2E,00001101
0X2F,XXXXXXXX
0X30,00100011
0X31,10001101

Dump at 30 ns seconds:
address,data
0X0,00000001
0X1,10110010
0X2,00010100
0X3,10100110
0X4,XXXXXXXX
0X5,00110011
0X6,00000011
0X7,10011110
0X8,01011100
0X9,11010011
0XA,11110001
0XB,00010101
0XC,00100101
0XD,01110101
0XE,10110100
0XF,10110101
0X10,00011111
0X11,10110100
0X12,11010111
0X13,01000110
0X14,00101110
0X15,11001010
0X16,XXXXXXXX
0X17,00111001
0X18,10000000
0X19,00110001
0X1A,10001111
0X1B,XXXXXXXX
0X1C,11101011
0X1D,00110101
0X1E,XXXXXXXX
0X1F,10000100
0X20,01100100
0X21,XXXXXXXX
0X22,11101111
0X23,00011100
0X24,11001111
0X25,00101110
0X26,11111001
0X27,00101101
0X28,00100100
0X29,11000000
0X2A,01111010
